email,first_name,last_name,res_street,res_city,res_state,res_postcode,post_street,post_city,post_state,post_postcode,latitude,longitude
colton_tromp@gmail.com,Darcy,Waters,8540 Charli Summit,AIRLIE BEACH,QLD,4802,376 Williamson Hill,ARTHUR RIVER,WA,6315,-20.26751,148.71471
lindsay_bradtke@gmail.com,Georgia,Stewart,650 Harris Summit,ARCTURUS,QLD,4722,477 Jasmine Circle,ALDINGA,SA,5173,-20.0,145.0
jaime_kuphal@yahoo.com,Joshua,Schmidt,53 Klein Circle,AMBLESIDE,TAS,7310,2979 Anthony Drive,AMOR,VIC,3825,-41.45,146.1167
odell.king@hotmail.com,Natalie,Smith,545 Summer Avenue,ALVIE,VIC,3249,5454 Koss Track,ANABRANCH SOUTH,NSW,2648,-38.23333,143.5
carlos@hotmail.com,Cameron,Schneider,46 Becker Summit,ALLANSFORD,VIC,3277,3137 Lakin Station St,ALLANS FLAT,VIC,3691,-6.88333,107.53333
linsey.blanda@hotmail.com,Mia,Flatley,15 Hannah Circle,ARMADALE,WA,6112,696 Jenkins Parkway,AMBERLEY,QLD,4306,0.01637,109.33731
roger.prohaska@gmail.com,Charles,Wilson,85 Isaac Terrace,ALEXANDRA HILLS,QLD,3161,5414 Leannon Crest,ALSACE,QLD,4702,-27.53221,153.22889
arthur@yahoo.com,Owen,Carter,9300 Moss Run,ANKETELL,WA,6167,99 Levi Summit,ADARE,QLD,4343,32.668873,-90.037661
barrett@yahoo.com,Ashley,Green,5023 Nader Lane,ANDAMOOKA,SA,5722,92 Bergstrom Run,ANTONYMYRE,WA,6714,46.39654,6.19169
salvatore_schuppe@gmail.com,Aidan,Kuhlman,201 Durgan Mall,ANNADALE,SA,5356,26 Cassin Knoll,ALEXANDRA HEADLAND,QLD,4572,-34.39137,139.34886
karl@yahoo.com,Alexandra,Clarke,6591 Natalie Meadow,ARROWSMITH,WA,6525,8719 Adams Place,ANSONS BAY,TAS,7264,32.668873,-90.037661
karyn.kub@gmail.com,Samantha,Champlin,79 Eve Pass,ADARE,QLD,4343,67 Erdman Island,AUGATHELLA,QLD,4477,-27.51267,152.29537
mackenzie_auer@gmail.com,Cameron,Haley,351 Heidi Court,ALPHINGTON,VIC,3078,460 Mccullough Manor,AIRVILLE,QLD,4807,-37.7829,145.0226
lea.cummings@hotmail.com,Daniel,Braun,80 Ernser Avenue,ANNADALE,SA,5356,89 Eva Boulevard,AIRLY,VIC,3851,-34.39137,139.34886
julian@yahoo.com,Luke,Dare,544 Sanford Pass,AYLMERTON,NSW,2575,715 Tremblay Street,ARTHUR RIVER,TAS,7330,47.2808,7.83274
sandee@yahoo.com,Blake,Feeney,2442 Grimes Island,ASHMONT,NSW,2650,174 Isabelle Track,AVISFORD,NSW,2850,-35.12491,147.33172
camille_hintz@yahoo.com,William,Walter,4945 Chloe Parkway,MILLERBURGH,NSW,1270,93 Maya Lane,NATESIDE,ACT,6202,55.61963,14.01975
twila_morar@yahoo.com,Bella,Lockman,8813 Emily Meadow,ARMSTRONG CREEK,VIC,3217,74 Ali Circuit,ALLWORTH,NSW,2425,-38.2583,144.3083
maryjo@yahoo.com,Lucy,Stokes,888 Mackenzie Ridge,AARONS PASS,NSW,2850,7423 Crooks Crest,ADAMSTOWN,NSW,2289,47.4116,7.83234
phillip@gmail.com,Archie,Barton,41 Taylor View Rd,ANGLEDOOL,NSW,2834,796 Madison Crest,ALMONDS,VIC,3727,47.42903,7.70266
sol@gmail.com,Jett,Monahan,8845 Braun Hill,ARMADALE,WA,6112,61 Emily Place,ANAMBAH,NSW,2320,0.01637,109.33731
aileen.berge@yahoo.com,Phoebe,Dare,823 O'neill Place,ALLENS RIVULET,TAS,7150,58 Walsh Trail,ARAKOON,NSW,2431,-43.2667,147.2333
ozie.herzog@gmail.com,Lachlan,Howell,91 Samantha Parkway,ADAMS ESTATE,VIC,3984,9367 Smyth Way,ALBANY,WA,6330,-38.4167,145.5
deane_donnelly@gmail.com,Alexander,Walker,25 Grace Crescent,APPILA,SA,5480,8683 Leffler Boulevard,ANDERGROVE,QLD,4740,46.62863,6.54957
ona@hotmail.com,Summer,Hand,24 Matilda Station St,ARCOONA,SA,5720,81 Bayer Loop,ABINGTON,QLD,4660,46.43278,6.19621
oren.west@yahoo.com,Archie,Douglas,15 Alyssa Street,ALBION PARK RAIL,NSW,2527,2907 Isabelle Terrace,ABERFOYLE PARK,SA,5159,47.21596,7.58677
todd@yahoo.com,Riley,West,2122 Goodwin Avenue,ARCADIA SOUTH,VIC,3631,2782 Carroll Street,ABERCORN,QLD,4627,-36.4167,145.5
loreta.bernier@hotmail.com,Audrey,Rohan,264 Maya Station St,APPLECROSS,WA,6153,770 Mason Plaza,AITKENVALE,QLD,4814,46.2404,6.91528
major_hermann@hotmail.com,Natalie,Hammes,33 Durgan Circle,AREEGRA,VIC,3480,1531 Victoria Parade,ARMIDALE,NSW,2350,-36.3028,142.9681
hunter@gmail.com,Edward,Parisian,62 Lachlan Run,ARKAROOLA VILLAGE,SA,5732,201 Khan Street,ANTIGUA,QLD,4650,46.42811,6.24935
lanny.fay@gmail.com,Marcus,Kutch,2245 Jett Square,ARDROSSAN,SA,5571,7267 Chelsea Loop,ARCADIA,QLD,4819,46.86462,6.63414
ruthie@yahoo.com,Eli,Wood,157 Amy Crest,ASHBOURNE,VIC,3442,8970 Eve Terrace,AURUKUN,QLD,4892,-37.3174,144.5993
jim@yahoo.com,Phoenix,Douglas,6855 Erdman Mews,ARIAH PARK,NSW,2665,237 Williams Way,ADJUNGBILLY,NSW,2727,-34.5,147.1667
rima@gmail.com,Georgia,Adams,23 Bogan Parade,AGNES BANKS,NSW,2753,2053 Fay Run,ARCHIES CREEK,VIC,3995,-33.60944,150.71674
lamont@hotmail.com,Sarah,Boyle,3934 Levi Meadow,ALBION,QLD,4010,33 Oliver Estate Dr,ARTHURS CREEK,VIC,3099,47.35422,8.04123
tod@yahoo.com,Abbey,Wilderman,77 Lowe Lane,ANTONYMYRE,WA,6714,183 Hugo Pass,ALAWOONA,SA,5311,32.668873,-90.037661
shantell@hotmail.com,Gemma,Cox,31 Sam Track,AUSTINS FERRY,TAS,7011,18 Skye Parade,ANTONYMYRE,WA,6714,-42.7667,147.25
